container,unittitle
,Robert Rauschenberg papers 2019TEST
,Interviews
INT1,"Parinaud, Andre / Personal Interview (includes 2004 translation)"
INT1,"Klüver, Billy / Record Interviews with Artists Participating in the Popular Image Exhibition, Washington Gallery of Modern Art"
INT1,"Seckler, Dorothy / Oral History / Archives of American Art"
INT1,"Seckler, Dorothy / The Artist Speaks: Robert Rauschenberg / Art in America"
INT1,"Kostelanetz, Richard / A Conversation with Robert Rauschenberg, Paris Review"
INT1,O.B. [?] / Personal Interview
INT1,Unidentified / Interview with Robert Rauschenberg / Robert Rauschenberg in Israel Exhibition
INT1,"Smith, Philip / Personal Interview"
INT1,"Diamonstein, Barbaralee / Personal Interviews (Excerpts Only)"
R1,Unidentified / Interview with Rachel Rosenthal / Personal Interview (restricted)
INT1,"Diamonstein, Barbaralee / Robert Rauschenberg and Leo Castelli / Inside New York's Art World"
INT1,"Harmel, Mark / Robert Rauschenberg / Sanibel, Captiva Islander"
INT1,"Sayag, Alain / Interview with Robert Rauschenberg"
INT1,"Rogan, Dora / Robert Rauschenberg: The Artist with Infinite Possibilities / Kathimerini"
INT1,"Garrels, Gary / ""Interview with Robert Rauschenberg"" / Art New England"
INT1,"Weiss, Marjorie / Lowcountry Through the Eyes of an Artist / News + Courier"
INT1,"de Smecchia, Muni / Interview with Robert Rauschenberg (Italian Transcript) / Italian Vogue"
INT1,Unidentified / Interview with Robert Rauschenberg / Van Gogh Television
INT1,"Rowes, Barbara / Interview with Robert Rauschenberg / People Magazine"
INT1,"Shistrote, Barbara / Interview with Robert Rauschenberg / Public Radio"
INT1,"Adler, Ed / Personal Interview"
INT1,"Higashino (Tono), Yoshiaki / Tying Work to Elephants. About the ROCI Project / Time with Creators"
INT1,"Raedeke, Paul / Interview with Rauschenberg / Photo Metro"
INT1,"Black, L. D. / Robert Rauschenberg / Splash"
INT1,"Hardy, Thomas W. / Questions on Dante Drawings"
INT1,"Sparks, Esther / Personal Interview"
INT2,Various / Robert Rauschenberg Interviews / Bound Compilation
INT2,"Koppel, Ted / ""Disintegrating Works of Art"" (with Robert Rauschenberg, Larry Rivers, Bruce Guenther) / ABC News"
INT2,"Rose, Barbara / Personal Interview"
INT2,"Rosenquist, James / Personal Interview"
INT2,"Gercke, Hans / Questions on the Color Blue / Heidelberger Kunstverein"
INT2,"Kotz, Mary Lynn / ""Interview with Walter Hopps"""
INT2,"Simmons, Todd / Questions on Graphicstudio / Tampa Tribune"
INT2,"Maxwell, Douglas / Extra Questions for Robert Rauschenberg"
INT2,"Saff, Don and unidentified T [Thomas Buehler?] / Personal Interview"
INT2,Unidentified / Robert Rauschenberg / Art Meets Science and Spirituality in a Changing Economy
INT2,"Hopps, Walter / Personal Interview"
INT2,"Peterson, William / Questions on Rachel Rosenthal"
