extent,container,unittitle,physfacet
53 Cubic Feet1054 Video Recordings71 Sound Recordings,,Audiovisual Collection 2019TEST,716 analog video recordings; 338 digital objects
1.2 Cubic Feet44 Video Recordings1 Sound Recordings,,Artwork,32 analog video recordings; 12 digital videos and surrogates
,,General,
0.09 Cubic Feet3 Video Recordingsinterfiled footage log,82295.V004.0082395.V004.01372995.V004.02,"""Permanence of Art Materials."" NBC: Nightline.",duplicates of broadcast video recording
,,"""Canoe"" (1966)",
0.07 Cubic Feet2 Video Recordings,82466.V001.0557166.V001.01,Exhibition copies,exhibition duplication master and viewing copy
0.05 Cubic Feet2 Video Recordings,37366.V001.03,Film transfer master,analog film transfer master and digital surrogate; B&W; 00:05:00
0.06 Cubic Feet3 Video Recordings,82566.V001.0082666.V001.0282766.V001.04,Viewing copies,access copies; 00:05:04
,,"""The 1/4 Mile or 2 Furlong Piece"" (1981–1998)",
0.002 Cubic Feet1 Sound Recordings,30787.A001.00,Sound track,emergency backup copy of installation sound track; 01:00:14
,,Documentation,
,,"""7 Characters"" series (1982)",
0.02 Cubic Feet2 Video Recordings,82885.V094.00,Working segment,analog working segment and digital surrogate; 00:30:48
,,"""A Quake in Paradise (Labyrinth)"" (1994)",
0.005 Cubic Feet2 Video Recordings,30895.V008.00,"Installation, Captiva",analog raw footage and digital surrogate; 00:10:54
,,"""Art Car-BMW"" (1986)",
0.05 Cubic Feet2 Video Recordings,373089.V024.00,"""BMW Art Cars."" CNN-NY",duplicate of broadcast videorecording and digital surrogate; 00:02:24
,,"""Bicycloid VI"" (1993)",
0.02 Cubic Feet1 Video Recordings,831,Tokyo Urban Renewal Public Art Project,duplicate
,,"""Dry Cell"" (1953)",
0.02 Cubic Feet1 Video Recordings,83296.V003.00,Restoration,raw footage
,,"""Eco-Echo"" series (1992–1993)",
0.02 Cubic Feet2 Video Recordings,833,"""Saff Tech Arts."" CBS Sunday Morning.",duplicate of broadcast video recording and digital surrogate; 00:09:57
,,Glass tires,
0.04 Cubic Feet3 Video Recordings,818295.V006.00,Casting,raw footage; 2 analog video recordings and 1 digital surrogate; 00:32:55
0.005 Cubic Feet1 Video Recordings,30995.V007.00,Urban Glass,raw footage
,,"""Immerse"" (1994)",
0.01 Cubic Feet3 Video Recordings,301094.V002.00301194.V002.00,RR with painting,raw footage; 2 analog video recordings and 1 digital surrogate; 00:41:14
,,"""Japanese Clayworks"" (1982/1985) and ""Japanese Recreational Clayworks"" (1982–1983/1985/1989)",
0.09 Cubic Feet3 Video Recordingsraw and edited footage shot for news segments,83210.V005.018486.V010.00; 86.V023.003727,"[Otsuka Omi Ceramics Co.], NHK footage and segments",
,,"""Monogram"" (1955-1959)",
0.02 Cubic Feet1 Video Recordings,85,"""The Goat."" Xmas Files. Charlotte Street Productions.",duplicate of broadcast video recording; NTSC; stereo
,,"""Mud Muse"" (1968-1971)",
1 Video Recordings,,"""Mud Muse""",digital surrogate; 00:00:17
,,"""Oracle"" (1962-1965)",
0.08 Cubic Feet4 Video Recordings,8698.V007.028798.V007.008898.V007.0289,"""Description, Maintenance and Test Video Tape""","duplicate video recordings to accompany to ""Operations and Maintenance Manual""; NTSC"
1 Video Recordings,,Installation views at multiple exhibitions,digital excerpt compilation of multiple exhibitions; 00:27:50
0.02 Cubic Feet1 Video Recordings,81098.V007.00; 98.V007.02,"""Oracle Redesigned""",
0.01 Cubic Feet2 Sound Recordings,351775.A006.01351875.A006.02,Sound recordings,Polyester audio tape; 7.5 ips; 1x mono; 1x stereo
,,Original art for Man of the Year TIME magazine (1985),
0.02 Cubic Feet1 Video Recordings,811,"""Man of the Year."" Time CBC.",duplicate of edit from broadcast video recording
,,"""Rebus"" (1955)",
0.005 Cubic Feet1 Sound Recordings,351975.A008.00,Rebus in Philadelphia,polyester audio tape; 7.5 ips; mono
,,"""Revolver"" series (1967)",
0.25 Cubic Feet3 Motion Picture Films2 Video Recordings,39167.MM001.0139267.MM001.0281567.MM001.0181667.MM001.02,Silkscreening,color; positive; no sound2 digital betacam transfers
,,"""Study for Chinese Summerhall"" portfolio (1983)",
0.02 Cubic Feet1 Video Recordings,81283.V013,Signing prints at Graphicstudio,raw footage
,,"""Untitled (Cardboard)"" (1972)",
1 Video Recordings,,"Making ""Untitled (Cardboard)"" at 381 Lafayette",digital surrogate of film original; color; silent; 00:03:05
,,Various,
1 Video Recordings,,"""Robert Rauschenberg: Cardboards and Gluts."" Heinrich Schmidt. Vernissage TV.",digital video recording; 00:06:26
8.45 Cubic Feet149 Video Recordings29 Motion Picture Films12 Sound Recordings,,Performance,90 analog video recordings; 59 digital surrogates
,,9 Evenings,
,,Event footage,
0.04 Cubic Feet4 Video Recordings,8466.V017.0085,Backstage and excerpts,2 analog film transfer duplicates and 2 digital surrogates; silent; 00:29:04 ; 00:28:18
0.05 Cubic Feet1 Video Recordings,371,Corrected RR selection,film transfer excerpts
,,"""9 evenings."" Alfons Schilling.",
0.04 Cubic Feet3 Video Recordings,8666.V012.008766.V016.00,Film transfers,2 analog [film transfer] duplicates and 1 digital surrogate; 00:33:45
0.13 Cubic Feet2 Motion Picture Films,44366.MM002.0144366.MM002.00,16 mm prints and excerpts,"B&W; positive; 1 optical sound track, 1 silent"
,,"""9 Evenings: Theater and Engineering, October 13-23, 1966, Excerpts from the 10 Performances""",
0.002 Cubic Feet13 Video Recordings,3224,MiniDV camera footage,1 videocassette and 12 digital surrogates
0.001 Cubic Feet1 Video Recordings,3026,Full film,full feature
,,"Brown, Trisha",
,,General,
0.01 Cubic Feet1 Sound Recordings,3227,Trisha Brown Dance Company audiocassette,
0.02 Cubic Feet1 Video Recordings,88,Trisha Brown Dance Company promotional tape,promotional copy
,,"""Accumulation with Talking plus Watermotor for Stephen""",
0.02 Cubic Feet2 Video Recordings,8978.V001.00,Wide and close camera angles,analog video recording and digital surrogate; 00:25:38
,,"""Astral Converted (50"")""",
0.02 Cubic Feet2 Video Recordings,81091.V038.00,"Premiere at the National Gallery of Art concurrent with ""Rauschenberg Overseas Cultural Interchange""",raw footage
,,"""Astral Convertible""",
0.07 Cubic Feet3 Video Recordings,37291.V039.00812,"""Aeros""",2 analog video recordings and 1 digital surrogate; 00:50:48
0.02 Cubic Feet1 Video Recordings,811204.V008.00,Prototype show review,
,,"""Dancing on the Edge""",
0.07 Cubic Feet4 Video Recordings,37381380.V004.00,WGBH New Television Workshop,2 duplicates of broadcast video recording and 2 digital surrogates; 00:28:39 ; 00:28:58
,,"""For MG: The Movie""",
0.02 Cubic Feet1 Video Recordings,814,Backstage,duplicate; B&W
,,"""Set and Reset""",
,,"""Elastic Carrier""",
1.54 Cubic Feet6 Motion Picture Filmsinterfiled time code sheets and instructions6 Sound Recordings8 Sound Recordings,42483.MM001.0142583.MM001.0242683.MM001.0342783.MM001.0442883.MM001.0543183.MM001.0643283.MM001.0143383.MM001.0243483.MM001.0343583.MM001.0443683.MM001.0543783.MM001.0651183.A001.0151283.A001.0251383.A001.0351483.A001.0451583.A001.0551683.A001.0651783.A001.0751883.A001.08,16 mm masters,B&W; positive; silentB&W; positive; optical sound trackfull coat magnetic sound track
0.49 Cubic Feet20 Video Recordings,81581683.V002.0281783.V002.0381881982083.V002.0682183.V002.0182282382483.V002.0437137237337437583.V010.00,Film transfers,15 analog film transfers and 5 digital surrogates
0.12 Cubic Feet2 Motion Picture Films,522523,Source material,found footage
0.02 Cubic Feet1 Video Recordings,82584.V003.00,WGBH Television,duplicate of broadcast video recording
,,Compilation,
0.04 Cubic Feet2 Video Recordingsinterfiled footage log,82688.V048.0082788.V048.01,"""Dancing on the Edge,"" ""Set and Reset,"" ""Accumulation with Talking""",Secacam submaster and NTSC duplicate of broadcast video recording
,,"Cunningham, Merce",
,,General,
1 Video Recordings,,"""498 3rd Ave."" Klaus Wildenhahn. Norddeutscher Rundfunk, Studio Hamburg.",digital surrogate; B&W; 01:23:05
0.08 Cubic Feet4 Video Recordings,829819210.V008.00820821,Edison College lecture,duplicates
